,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
2017년 7월,97.7,134.1,2397.66,97.57,1.81,1.87,4.2,15168,0.484
2017년 8월,98.0,116.4,2397.12,98.146,1.84,1.85,4.6,15421,0.397
2017년 9월,98.3,117.3,2367.45,98.042,1.82,1.83,4.6,8652,0.317
2017년 10월,99.4,119.7,2425.63,97.796,1.79,1.8,4.2,3942,0.278
2017년 11월,100.0,120.2,2535.97,97.173,1.82,1.78,4.1,6679,0.334
2017년 12월,100.9,114.8,2488.92,97.456,1.77,1.75,4.4,8484,0.345
2018년 1월,103.0,126.8,2474.86,97.844,1.78,1.73,4.4,9938,0.417
2018년 2월,104.8,126.3,2578.91,98.552,1.79,1.7,5.3,11986,0.417
2018년 3월,106.1,116.3,2406.57,98.543,1.77,1.66,5.5,14609,0.44
2018년 4월,107.5,108.3,2454.72,98.77,1.62,1.62,5.0,6535,0.302
2018년 5월,108.0,109.8,2515.75,98.779,1.52,1.61,5.3,5697,0.36
2018년 6월,108.6,106.3,2419.63,98.429,1.47,1.59,4.8,4830,0.424
2018년 7월,110.3,111.9,2322.23,98.392,1.47,1.59,4.7,5852,0.563
2018년 8월,115.0,127.5,2301.17,99.232,1.48,1.58,5.0,7687,0.613
2018년 9월,121.6,126.2,2317.93,99.856,1.47,1.58,4.9,12395,0.681
2018년 10월,122.4,115.1,2349.64,99.506,1.46,1.59,4.2,10977,0.69
2018년 11월,120.7,106.5,2035.11,98.977,1.48,1.6,3.8,3736,0.609
2018년 12월,119.2,93.9,2127.78,98.713,1.48,1.6,4.2,2380,0.433
2019년 1월,117.9,91.8,2050.55,98.76,1.5,1.61,5.1,1889,0.388
2019년 2월,117.1,94.5,2211.93,99.261,1.56,1.62,5.3,1624,0.275
2019년 3월,116.1,93.5,2210.97,99.062,1.51,1.62,5.6,1813,0.329
2019년 4월,116.2,92.1,2153.31,99.44,1.41,1.63,5.2,2469,0.378
2019년 5월,117.3,98.6,2192.94,99.487,1.35,1.64,4.9,3432,0.445
2019년 6월,119.7,111.2,2031.03,99.355,1.31,1.66,4.4,4470,0.44
2019년 7월,122.2,119.4,2147.24,99.11,1.32,1.69,4.4,7009,0.484
2019년 8월,124.0,118.2,2015.09,99.393,1.44,1.73,3.8,8586,0.485
2019년 9월,125.3,122.5,1961.19,99.733,1.54,1.75,3.6,7096,0.491
2019년 10월,127.3,130.6,2062.44,99.95,1.55,1.77,3.6,8274,0.483
2019년 11월,129.7,129.7,2084.79,99.421,1.55,1.79,3.4,10955,0.489
2019년 12월,131.9,125.6,2097.55,99.61,1.57,1.82,3.3,14117,0.475
2020년 1월,132.9,116.5,2201.21,99.8,1.65,1.85,4.2,10491,0.457
2020년 2월,134.8,120.1,2086.61,99.84,1.72,1.88,4.3,9522,0.425
2020년 3월,135.9,109.8,1997.03,99.83,1.66,1.9,5.0,9152,0.342
2020년 4월,134.7,102.2,1737.28,99.61,1.57,1.93,5.3,3699,0.306
2020년 5월,135.4,112.5,1906.42,99.65,1.54,1.98,5.8,4328,0.336
2020년 6월,140.4,131.9,2037.04,99.91,1.55,2.03,4.8,11106,0.374
2020년 7월,147.6,139.4,2128.81,99.74,1.56,2.08,4.5,16002,0.428
2020년 8월,152.3,131.9,2251.65,100.27,1.66,2.15,3.3,6880,0.419
2020년 9월,154.5,127.3,2340.19,100.7,1.75,2.22,4.2,4795,0.398
2020년 10월,155.7,131.6,2330.55,100.23,1.77,2.29,4.6,4320,0.375
2020년 11월,158.6,133.2,2276.61,100.14,1.91,2.36,4.2,4725,0.405
2020년 12월,162.0,130.8,2613.42,100.27,2.03,2.42,4.5,8764,0.437
2021년 1월,167.1,129.1,2874.5,100.86,2.08,2.48,6.5,5945,0.408
2021년 2월,169.4,124.7,2976.81,101.33,2.16,2.52,6.5,5435,0.418
2021년 3월,170.2,116.6,3021.68,101.57,2.1,2.58,5.4,4495,0.432
2021년 4월,171.4,117.1,3073.77,101.68,2.17,2.62,5.0,4194,0.446
2021년 5월,174.7,124.1,3149.05,101.74,2.27,2.68,5.2,5090,0.434
2021년 6월,178.9,127.9,3207.12,101.68,2.34,2.72,5.2,4240,0.452
2021년 7월,182.7,130.7,3297.92,101.88,2.48,2.75,4.5,4646,0.438
2021년 8월,186.4,132.9,3218.42,102.33,2.57,2.77,4.0,5054,0.433
2021년 9월,189.2,129.5,3195.67,102.67,2.58,2.78,3.6,3874,0.446
2021년 10월,189.9,118.2,3056.21,102.9,2.59,2.79,4.2,2839,0.432
2021년 11월,186.6,111.3,2984.18,103.2,2.59,2.8,4.1,2305,0.429
2021년 12월,183.7,102.0,2860.12,103.32,2.62,2.82,3.8,1634,0.418
2022년 1월,182.6,100.7,2998.32,104.09,2.64,2.86,4.7,1281,0.368
