,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
82,99.81,109.2,2515.75,98.901,1.52,1.61,3.63,11901,0.378
83,99.6,111.6,2419.63,98.721,1.47,1.59,3.78,10417,0.404
84,99.7,115.6,2322.23,98.532,1.47,1.59,3.94,11316,0.376
85,101.1,121.7,2301.17,99.432,1.48,1.58,4.1,14388,0.408
86,102.3,117.3,2317.93,100.152,1.47,1.58,3.53,19443,0.374
87,102.6,118.6,2349.64,99.896,1.46,1.59,3.84,22498,0.41
88,102.1,114.1,2035.11,99.242,1.48,1.6,3.64,12510,0.412
89,101.6,113.7,2127.78,98.863,1.48,1.6,3.65,8631,0.363
90,100.9,111.4,2050.55,98.693,1.5,1.61,4.43,7897,0.323
91,100.3,107.6,2211.93,99.195,1.56,1.62,4.63,6529,0.3131
92,99.82,103.8,2210.97,99.043,1.51,1.62,3.95,7541,0.35
93,99.61,115.31,2153.31,99.365,1.41,1.63,4.22,8486,0.351
94,99.4,126.9,2192.94,99.668,1.35,1.64,4.6,8844,0.3511
95,99.71,124.91,2031.03,99.498,1.31,1.66,3.85,8721,0.351
96,99.9,127.2,2147.24,99.1951,1.32,1.69,3.96,11416,0.356
97,100.2,124.1,2015.09,99.4321,1.44,1.73,3.24,11381,0.361
98,100.4,119.6,1961.19,99.612,1.54,1.75,3.43,11427,0.3512
99,100.91,121.6,2062.44,99.962,1.55,1.77,3.17,16106,0.384
100,101.5,121.5,2084.79,99.422,1.55,1.79,3.44,18601,0.36
101,102.4,116.9,2097.55,99.6681,1.57,1.82,3.79,25095,0.358
102,103.6,117.0,2201.21,100.08,1.65,1.85,4.7,24502,0.362
103,106.1,114.8,2086.61,100.14,1.72,1.88,4.32,32381,0.37
104,108.0,109.4,1997.03,99.88,1.66,1.9,4.23,28665,0.338
105,108.5,123.5,1737.28,99.46,1.57,1.93,4.8,13735,0.287
106,109.8,132.9,1906.42,99.42,1.54,1.98,4.11,16029,0.299
107,112.2,129.11,2037.04,99.75,1.55,2.03,4.12,34199,0.341
108,115.5,129.9,2128.81,99.64,1.56,2.08,4.24,31735,0.346
109,117.0,130.4,2251.65,100.21,1.66,2.15,3.45,17799,0.308
110,118.0,123.81,2340.19,100.73,1.75,2.22,3.71,16956,0.3132
111,120.3,132.3,2330.55,100.15,1.77,2.29,3.86,18905,0.307
112,123.3,136.1,2276.61,100.12,1.91,2.36,3.711,19845,0.31
113,126.7,133.1,2613.42,100.4,2.03,2.42,3.97,30495,0.3271
114,131.6,130.7,2874.5,101.05,2.08,2.48,5.1,20938,0.3081
115,136.0,128.91,2976.81,101.66,2.16,2.52,4.5,19894,0.3133
116,139.6,112.1,3021.68,101.87,2.1,2.58,4.44,19832,0.345
117,142.6,122.5,3073.77,102.01,2.17,2.62,4.33,15689,0.357
118,146.5,129.51,3149.05,102.1,2.27,2.68,4.34,16327,0.349
119,151.4,128.0,3207.12,102.17,2.34,2.72,4.9,15131,0.3611
120,156.9,126.0,3297.92,102.33,2.48,2.75,3.18,16580,0.371
121,162.6,117.1,3218.42,102.85,2.57,2.77,2.73,16249,0.381
122,166.8,108.7,3195.67,103.21,2.58,2.78,3.19,13997,0.379
123,169.1,113.5,3056.21,103.43,2.59,2.79,2.95,10513,0.364
124,168.1,115.1,2984.18,103.97,2.59,2.8,2.74,7852,0.354
125,165.4,117.41,2860.12,104.16,2.62,2.82,2.96,5791,0.3411
126,163.5,130.71,2998.32,104.88,2.64,2.86,3.39,4642,0.318
127,163.51,124.3,2706.34,105.41,2.66,2.88,3.6,4537,0.311
128,164.3,111.0,2698.31,106.14,2.6,2.91,2.6,6190,0.3261
129,164.7,117.2,2745.85,106.86,2.62,2.94,2.81,7306,0.335
130,162.9,126.2,2669.21,107.55,2.63,2.99,3.11,7414,0.352
131,160.9,126.5,2670.74,108.2,2.62,3.02,3.7,5460,0.3381
132,155.2,120.4,2342.92,108.73,2.63,3.06,2.97,4567,0.32
133,151.2,110.9,2444.05,108.58,2.65,3.11,2.2,3657,0.305
134,145.9,107.4,2443.0,108.78,2.66,3.17,2.4,3285,0.243
135,139.5,112.7,2189.51,109.13,2.74,3.24,2.41,3270,0.1352
136,133.0,114.5,2301.58,109.12,2.85,3.32,2.52,3933,0.076
137,128.6,111.9,2501.43,109.26,2.93,3.38,2.31,3698,0.011
138,127.0,113.3,2249.95,110.05,2.99,3.45,2.98,4093,-0.016
139,129.0,105.9,2446.03,110.38,3.09,3.52,3.8,7913,-0.003
